Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
NGC4455,,187.1837497,22.82249998,8.4,10.55,12.93,3.24,0.29,644,76,7," ",,0.0
UGC7321,,184.3916665,22.54027774,17.2,10.67,14.09,6.76,0.06,403,90,7," ",,0.0
IC3840,,192.942083,21.73527775,5.5,14.39,16.9,0.95,0.48,557,75,10,Ir,,0.0
KK167,,192.9349997,26.11055553,9.2,14.0,16.39,0.85,0.72,1248,50,10,Ir,,0.0
UGC08030,,193.6224997,26.30499996,15.3,14.21,16.6,1.23,0.56,628,66,10,Ir,,0.0
ComaI,,186.745833,23.90416665,0.04,10.81,14.98,9.5,0.64,98,66,-3,Sph,,0.0
UGCA298,,191.730833,26.5641666,11.0,12.43,15.25,0.89,0.78,844,44,9,BCD,,0.0
DDO154,,193.5216665,27.1486111,4.04,12.33,14.1,2.14,0.73,374,49,10,Ir,,0.0
UGC07990,,192.6133332,28.35277774,20.4,13.51,16.2,1.17,0.52,512,60,8," ",,0.0
AGC749241,,190.007083,26.3219444,9.2,15.9,18.3,0.34,0.84,451,37,10,Ir,,0.0
UGCA294,,191.1587497,28.47249997,9.9,12.41,14.82,1.1,0.57,955,65,9,BCD,,0.0
NGC3627,,170.0624997,12.99138887,10.28,5.88,9.65,10.23,0.46,716,66,4," ",,0.0
AGC202256,,168.6874997,12.64749999,11.0,14.28,16.7,0.4,0.61,630,61,10,Ir,,0.0
NGC3593,,168.649583,12.81861109,10.8,7.42,11.85,5.89,0.43,631,73,1," ",,0.0
IC2684,,169.2541663,13.09972221,10.3,13.69,16.15,0.81,0.75,588,47,10,Tr,,0.0
IC2791,,170.9066664,12.89583332,10.3,14.45,16.9,0.58,0.68,666,54,9,Im,,0.0
AGC213436,,170.5999997,12.97944443,10.3,12.5,16.7,0.52,0.98,626,13,-1,dE,,0.0
IC2787,,170.8295832,13.6297222,10.3,13.23,15.7,1.07,0.93,708,24,9,BCD,,0.0
AGC215354,,169.8162497,14.29027776,10.42,14.96,17.4,0.5,0.6,790,62,9,BCD,,0.0
NGC3489,,165.0775,13.9011111,12.08,7.37,11.12,3.8,0.57,695,60,1," ",,0.0
AGC205278,,164.717083,14.12944443,10.4,14.88,17.3,0.54,0.68,686,54,10,Ir,,0.0
LSBC D640-08,,165.217083,13.88083332,10.4,12.8,16.96,0.81,0.58,,75,-3,Sph,,0.0
LeG33,,165.188333,14.1722222,10.4,16.18,18.6,0.35,0.55,,67,10,Tr,,0.0
UGC06881,,178.6862497,20.05555554,16.4,13.41,15.9,1.62,0.39,601,90,10,Ir,,0.0
LeG27,,163.0837498,14.7072222,10.4,14.42,18.6,0.37,0.67,,57,-2,Tr,,0.0
AGC205544,,163.0199998,15.03055553,10.4,12.92,17.1,0.45,0.8,828,41,-1,dE,,0.0
CGCG 095-078,,164.5091663,19.50527774,7.37,13.15,15.6,0.84,0.48,650,75,9,BCD,,0.0
KKH67,,170.7645832,21.32694443,10.0,14.21,18.4,0.71,0.81,,42,-2,Sph,,0.0
LeoII,,168.3716664,22.1547222,0.21,8.45,12.61,12.02,0.87,86,36,-3,Sph,,0.0
AGC229053,,184.564583,25.56833328,17.9,15.44,17.9,0.49,0.48,425,75,10,Ir,,0.0
DDO097,,177.2383332,23.83777774,13.74,12.65,15.14,1.58,0.91,522,27,10,Ir,,0.0
NGC4080,,181.215833,26.99249996,15.0,10.79,13.7,1.58,0.44,565,65,8," ",,0.0
LV J1205+2813,,181.3924998,28.2322222,6.74,14.02,16.7,0.69,0.79,534,38,8," ",,0.0
KUG 1202+286,,181.347083,28.36555552,6.69,13.16,15.2,0.89,0.57,529,56,8," ",,0.0
MCG +05-28-046,,178.8479163,28.33999996,7.45,13.89,16.35,1.2,0.44,590,81,9,Im,,0.0
BTS76,,179.6837497,27.58499997,5.57,14.06,16.5,0.6,0.6,455,62,10,Ir,,0.0
IC3308,,186.324583,26.71472218,12.8,12.51,15.41,1.55,0.26,316,77,8," ",,0.0
AGC749236,,186.4266665,26.80999995,19.5,14.86,17.3,0.62,0.51,273,71,10,Ir,,0.0
IC3341,,186.5974997,27.7455555,14.0,13.98,16.4,0.68,0.56,372,66,9,Im,,0.0
KK138,,185.493333,28.24277775,6.3,16.27,18.7,0.42,0.58,,64,10,Tr,,0.0
KK144,,186.3662498,28.48249995,6.15,14.07,16.5,1.12,0.44,480,81,10,Ir,,0.0
KDG098,,184.6224997,28.6458333,9.0,12.31,16.5,0.76,0.93,,24,-1,Tr,,0.0
IC3247,,185.808333,28.89388885,24.4,12.12,15.25,2.34,0.17,569,86,7," ",,0.0
NGC4559,,188.9904165,27.9597222,8.1,7.58,10.28,10.96,0.41,814,68,6," ",,0.0
DDO131,,187.9941664,29.7097222,8.1,12.86,15.28,1.15,0.76,643,46,10,Ir,,0.0
DDO133,,188.220833,31.53916663,4.85,11.12,13.53,3.55,0.69,330,53,10,Ir,,0.0
NGC4509,,188.278333,32.0916666,10.1,11.5,14.1,0.91,0.76,934,46,9,BCD,,0.0
IC 779,,184.9112497,29.8833333,16.67,11.79,15.22,1.32,0.86,213,34,-1,dE,,0.0
NGC4308,,185.4870832,30.07416663,14.0,10.62,14.11,0.85,0.95,642,20,-1," ",,0.0
KK127,,183.344583,29.92166663,17.3,13.99,15.6,1.38,0.36,131,70,8," ",,0.0
LV J1213+2957,,183.4516665,29.95888886,2.68,14.98,17.4,0.47,0.71,225,51,10,Ir,,0.0
NGC4136,,182.3237496,29.92749995,7.9,9.31,11.69,3.98,0.92,608,24,5," ",,0.0
IC2992,,181.3162497,30.8555555,12.7,12.44,15.02,0.83,0.83,599,38,9,BCD,,0.0
NGC4150,,182.64,30.40166664,13.74,8.99,12.49,2.19,0.69,226,53,-1," ",,0.0
UGC07131,,182.2991665,30.90666663,16.8,13.95,16.8,1.62,0.29,253,75,8," ",,0.0
MAPS1206+31,,181.6437498,31.34249994,7.43,13.12,15.8,0.71,0.93,568,22,8," ",,0.0
LV J1207+3133,,181.9583331,31.55222216,7.37,14.82,17.5,0.64,0.82,562,35,8,Sm,,0.0
NGC4395,,186.4574998,33.5461111,4.61,8.0,10.64,13.18,0.83,313,34,8," ",,0.0
LV J1217+3231,,184.383333,32.5325,5.93,15.8,18.2,0.66,0.62,447,60,9,Im,,0.0
KKH78,,184.4354164,33.34527774,4.7,15.3,17.7,0.45,0.63,,59,10,Ir,,0.0
KK141,,185.719583,33.8286111,7.78,14.2,16.6,0.4,0.77,573,45,10,Ir,,0.0
UGC7427,,185.4791663,35.0513889,9.7,13.5,15.9,1.07,0.61,726,61,10,Ir,,0.0
KUG 1157+315,,180.0674997,31.22499994,23.2,12.88,15.05,0.83,0.48,617,62,8," ",,0.0
