Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
UGC02905,,59.2524999,16.5244444,5.83,12.17,15.76,1.0,0.6,292,62,10,Ir,,0.0
UGC02684,,50.09874995,17.29499998,6.49,13.46,16.29,1.95,0.5,350,72,10,Ir,,0.0
UGC02716,,51.02999994,17.75416663,6.4,11.5,14.64,1.58,0.56,381,57,8," ",,0.0
Segue 2,,34.8166666,20.17527776,0.03,11.36,16.2,5.4,0.85,-39,39,-3,Sph,,0.0
UGC1561,,31.0208333,24.20777775,7.2,11.83,14.51,2.34,0.86,606,34,9,BCD,,0.0
NGC0855,,33.5154166,27.8772222,9.73,9.83,13.3,3.09,0.38,591,85,0,dS0em,,0.0
NGC1156,,44.9266666,25.23749997,7.8,9.55,12.32,3.31,0.85,373,32,8," ",,0.0
LV J0300+2546,,45.1637499,25.7822222,7.8,14.5,18.1,0.35,0.87,308,33,10,Ir,,0.0
AGC122226,,41.6620833,27.72638884,8.56,14.25,17.08,0.85,0.55,472,67,9,BCD,,0.0
DDO025,,38.3258333,33.4911111,9.3,10.98,13.96,2.57,0.92,604,23,8," ",,0.0
KKH18,,45.77458325,33.6944444,4.43,13.56,16.7,0.71,0.57,216,65,10,Ir,,0.0
UGC02773,,53.0295833,47.79361105,5.4,9.77,15.0,1.2,0.75,216,47,9,Im,,0.0
UGCA105,,78.5629165,62.58083324,3.15,8.2,12.14,5.5,0.64,113,51,8," ",,0.0
KK13,,25.56999997,26.36777775,7.2,13.86,16.57,0.71,0.57,357,65,10,Ir,,0.0
And XXII,,21.91666664,28.09027775,0.79,14.4,18.8,1.4,0.44,-127,90,-3,Sph,,0.0
KK16,,28.8358333,27.95416662,5.47,13.68,16.3,1.32,0.37,207,90,10,Ir,,0.0
KK15,,26.6733333,26.80138884,7.2,15.54,18.22,0.59,0.33,366,90,10,Ir,,0.0
IC1727,,26.87541663,27.33111106,7.2,8.97,12.07,6.92,0.36,336,70,8," ",,0.0
NGC0672,,26.97166664,27.4336111,7.2,8.51,11.31,7.24,0.36,429,71,6," ",,0.0
KK14,,26.17791665,27.28777773,7.2,14.84,17.47,0.79,0.37,420,90,10,Ir,,0.0
NGC0784,,30.31999997,28.8436111,4.97,10.29,12.22,6.61,0.23,193,79,8," ",,0.0
KK17,,30.04124994,28.83249996,4.9,14.24,17.2,1.0,0.5,168,72,10,Ir,,0.0
AGC112521,,25.2829166,27.32388884,6.52,15.2,17.8,0.6,0.55,274,67,10,Ir,,0.0
Triangulum spiral,M33,1.565,30.65,3.0,4.1,6.27,69.18,0.61,-182,54,5," ",M33.png,30000.0
UGC01281,,27.38458328,32.59249994,4.94,10.5,12.87,5.62,0.18,157,85,7," ",,0.0
And XIV,,12.89583332,29.6969444,0.73,12.56,16.9,2.7,0.68,-481,60,-3,Sph,,0.0
And XVI,,14.87416664,32.37666665,0.52,11.33,15.7,1.78,0.9,-385,31,-3,Sph,,0.0
And II,,19.12416664,33.4191666,0.65,10.75,15.1,2.82,0.8,-194,45,-3,Sph,,0.0
NGC0404,,17.3620833,35.71749994,3.05,7.53,11.21,3.47,0.95,-50,20,-1,S0em,,0.0
And XXIII,,22.3408333,38.71888884,0.73,10.74,15.1,7.3,0.6,-243,71,-3,Sph,,0.0
UGC01703,,33.23249995,32.81416665,4.19,12.52,17.0,0.79,0.55,,72,-2,Tr,,0.0
d0226+3325,,36.7199999,33.4269444,9.3,14.86,17.5,1.66,0.92,520,26,10,Ir,,0.0
NGC0925,,36.8166666,33.5780555,9.29,7.87,10.58,11.75,0.56,553,57,7," ",,0.0
Halogas,,36.8333333,33.9583333,9.3,15.35,18.0,0.43,0.75,528,47,10,Ir,,0.0
DDO019,,36.25083325,36.0377777,9.3,13.14,15.8,2.14,0.76,577,46,10,Ir,,0.0
DDO022,,38.22499994,38.6805555,9.3,13.11,15.65,1.74,0.31,570,90,10,Ir,,0.0
DDO024,,38.4291666,40.5280555,9.8,10.86,13.68,2.62,0.81,581,36,8," ",,0.0
NGC0891,,35.6366666,42.34666664,9.77,5.94,10.71,13.18,0.29,526,82,3," ",,0.0
UGC02172,,40.54499995,43.3552777,9.3,12.37,14.6,1.41,0.61,565,61,10,Ir,,0.0
And XIII,,12.96249999,33.0044444,0.84,13.78,18.2,1.3,0.75,-195,52,-3,Sph,,0.0
Bol520,,12.67666664,32.9163888,0.63,13.31,16.28,0.2,0.89,-312,33,-3,dE,,0.0
And XI,,11.58333332,33.8013889,0.73,14.08,18.5,1.1,0.85,-419,39,-3,Sph,,0.0
And XII,,11.86249999,34.3747222,0.83,14.15,18.7,1.9,0.9,-556,31,-3,Sph,,0.0
And III,,8.89083331,36.4977777,0.75,11.01,15.2,3.63,0.48,-346,90,-3,Sph,,0.0
And I,,11.41666664,38.0372222,0.73,9.59,13.9,2.88,0.78,-376,48,-3,Sph,,0.0
And IV,,10.62541665,40.5758333,6.31,14.54,17.18,1.0,0.77,237,45,10,Ir,,0.0
MESSIER032,M32,10.67541665,40.86638885,0.49,5.1,8.89,8.91,0.71,-202,53,-2,dEem,,0.0
And XV,,18.57791663,38.1174999,0.76,11.62,15.9,1.9,0.85,-323,39,-3,Sph,,0.0
And IX,,13.21999999,43.19999996,0.79,12.3,16.7,4.0,0.75,-216,52,-3,Sph,,0.0
And X,,16.64041663,44.80444435,0.63,12.1,16.7,2.1,0.56,-164,79,-3,Sph,,0.0
Andromeda,M31,10.69,41.27,0.778,0.99,4.29,190.55,0.33,-296,78,3," ",M31.png,2.12e4
NGC0205,,10.09374998,41.68638885,0.82,5.59,8.72,19.5,0.61,-221,64,-2,dE,,0.0
UGC00288,,7.2,43.4316666,6.73,12.99,15.64,1.07,0.62,187,60,10,Ir,,0.0
UGC00064,,1.91,40.8755555,9.6,12.84,15.5,1.66,0.56,305,66,10,Ir,,0.0
And XVIII,,0.560416666,45.0888888,1.36,12.49,17.0,1.4,0.99,-332,10,-3,Sph,,0.0
And XVII,,9.27916665,44.32222216,0.74,13.31,17.7,1.9,0.8,-251,43,-2,Sph,,0.0
And XXVII,,9.36291665,45.3869444,0.83,13.19,17.6,2.8,0.6,-535,71,-3,Sph,,0.0
And XXV,,7.537083325,46.85194435,0.81,11.42,15.9,4.8,0.75,-108,52,-3,Sph,,0.0
NGC0185,,9.74166665,48.336111,0.61,6.56,9.99,12.3,0.85,-203,39,-3,dE,,0.0
NGC0147,,8.29833332,48.5077777,0.76,7.2,10.36,13.49,0.61,-193,70,-3,Sph,,0.0
And XXX,,9.14541666,49.6466666,0.68,,,,,-141,,," ",,0.0
And XXVI,,5.939999995,47.9161111,0.76,13.88,18.4,1.6,0.75,-261,52,-3,Sph,,0.0
And XXIV,,19.62499996,46.366111,0.6,12.78,17.2,3.3,0.75,-128,52,-3,Sph,,0.0
And V,,17.57125,47.6280555,0.81,11.33,15.92,2.4,0.82,-403,43,-3,Sph,,0.0
KKH5,,16.88541664,51.4402777,4.27,13.63,17.1,0.87,0.62,61,60,10,Ir,,0.0
KKH6,,23.71499996,52.0916666,3.73,13.73,17.0,0.87,0.6,60,62,10,Ir,,0.0
IC0010,,5.10208333,59.2916666,0.66,6.51,11.78,6.76,0.87,-346,33,10,Ir,,0.0
KKH11,,36.1458333,56.01166656,3.0,11.74,16.2,1.66,0.54,296,68,10,Ir,,0.0
KKH12,,36.8625,57.4877777,3.0,11.79,17.8,1.7,0.29,70,90,10,Ir,,0.0
MB3,,43.9316666,58.8616666,3.0,10.93,19.38,1.58,0.31,59,90,10,Ir,,0.0
Dw1,,44.2337499,58.9116666,2.8,5.17,15.01,2.0,0.65,112,52,3," ",,0.0
Dw2,,43.5354166,59.0052777,3.0,10.22,17.97,1.0,0.4,94,90,10,Ir,,0.0
Maffei2,,40.47708326,59.6030555,2.8,4.5,14.77,3.8,0.5,-15,63,4," ",,0.0
MB1,,38.89833326,59.3797221,3.0,10.46,17.8,1.07,0.42,190,87,10,Ir,,0.0
Maffei1,,39.1479166,59.65499994,3.01,5.55,13.47,2.69,0.85,66,39,-3," ",,0.0
UGCA092,,68.0012498,63.6138888,3.01,11.0,15.22,2.0,0.5,-95,72,10,Ir,,0.0
NGC1569,,67.7045832,64.8480555,3.06,7.5,11.79,3.98,0.51,-86,60,8," ",,0.0
CamB,,73.2787499,67.0991666,3.34,13.36,16.71,1.48,0.5,78,72,10,Ir,,0.0
UGCA086,,59.9562499,67.1252777,2.96,8.17,13.5,4.47,0.69,72,47,8," ",,0.0
KK35,,56.30249995,67.8638888,3.16,11.06,15.7,2.51,0.68,-66,54,10,Ir,,0.0
IC0342,,56.7037499,68.0958332,3.28,4.57,9.37,21.38,0.91,29,25,6," ",,0.0
KKH34,,89.9216665,73.4275,4.61,13.76,17.1,0.93,0.56,106,66,10,Ir,,0.0
NGC1560,,68.2079166,71.881111,3.45,9.26,12.11,9.77,0.15,-36,90,7," ",,0.0
CamA,,66.315,72.8058333,3.93,11.64,14.84,3.72,0.57,-54,65,10,Ir,,0.0
Cas1,,31.5329166,69.0099999,3.3,9.34,15.29,2.19,0.77,35,45,10,Ir,,0.0
KKH22,,56.23583325,72.0644443,3.5,14.13,18.0,1.05,0.52,,70,10,Tr,,0.0
KKH46,,137.1524997,5.29222222,5.6,14.52,17.05,0.6,0.86,598,34,10,Ir,,0.0
IC0559,,146.1829164,9.61527777,9.4,12.52,14.98,1.32,0.74,541,48,9,BCD,,0.0
LSBC D634-03,,137.2229163,14.58194442,9.55,15.0,17.5,0.47,0.88,335,32,10,Ir,,0.0
LeoT,,143.7224997,17.05138887,0.42,14.03,16.5,2.09,0.71,39,51,10,Ir,,0.0
Segue 1,,151.7633332,16.0736111,0.02,11.98,16.21,7.0,0.52,206,90,-3,Sph,,0.0
LeoP,,155.4379164,18.08805552,2.0,14.75,17.2,0.55,0.54,262,68,10,Ir,,0.0
KDG056,,142.5537498,19.99166664,8.9,14.5,17.02,0.68,0.8,561,41,10,Ir,,0.0
UGC05086,,143.2037499,21.46499996,8.9,12.13,16.36,0.98,0.9,491,31,-3,Sph,,0.0
NGC2903,,143.04,21.50055554,8.87,6.04,9.53,12.59,0.48,556,64,4," ",,0.0
LV J0913+1937,,138.4125,19.61888886,4.43,14.88,17.4,0.54,0.45,445,79,10,Ir,,0.0
LSBC D564-08,,135.725,20.07527774,8.67,15.44,17.9,0.72,0.71,483,51,10,Ir,,0.0
NGC2903-HI-1,,142.66625,21.72361108,8.9,15.73,18.2,0.27,0.75,582,47,10,Ir,,0.0
LSBC D565-06,,139.8724997,21.6033333,9.08,14.79,17.3,0.6,0.86,498,34,10,Ir,,0.0
UGC04115,,119.2574998,14.39083331,7.73,12.13,15.23,1.91,0.56,343,66,10,Ir,,0.0
AGC198507,,138.8575,25.4194444,21.7,16.12,18.6,0.2,0.75,502,47,9,BCD,,0.0
AGC198508,,140.7374998,24.94666662,10.4,15.3,17.8,0.38,0.57,519,65,10,Ir,,0.0
KISSB023,,145.0529165,29.59138886,19.8,13.9,16.32,0.83,0.34,544,90,10,Ir,,0.0
LV J0926+3343,,141.5391666,33.71777776,19.7,15.13,17.8,0.85,0.24,540,79,8," ",,0.0
AGC182595,,132.8004165,27.87999995,6.1,14.68,17.2,0.36,0.58,398,64,9,BCD,,0.0
KUG 0821+321,,126.2708331,32.0175,8.15,14.27,16.8,0.68,0.63,642,59,10,Ir,,0.0
UGC04787,,136.8954165,33.27666664,20.3,11.69,14.6,2.45,0.28,553,76,8," ",,0.0
KK70,,133.8416664,33.5591666,7.7,13.48,17.7,0.5,0.97,,17,-3,Sph,,0.0
NGC2683,,133.1704165,33.41722215,7.73,6.33,10.34,13.49,0.24,411,90,3," ",,0.0
KK69,,133.2112498,33.79777775,7.7,14.93,17.4,1.38,0.76,462,46,10,Ir,,0.0
UGC04704,,134.7512497,39.20999994,15.2,11.91,15.0,4.37,0.11,599,90,8," ",,0.0
UGC05672,,157.087083,22.57138887,11.4,11.55,14.65,3.09,0.28,531,76,8," ",,0.0
NGC3344,,160.875833,24.92361107,6.85,7.44,10.45,7.59,0.9,588,27,4," ",,0.0
AGC749315,,157.2766664,26.9105555,21.5,16.66,19.1,0.11,0.86,645,34,9,BCD,,0.0
NGC3274,,158.07125,27.66861108,7.98,10.74,13.21,2.4,0.48,541,63,7," ",,0.0
AGC731448,,155.9374997,27.1108333,13.5,14.14,16.6,0.48,0.66,540,56,9,BCD,,0.0
AGC731457,,157.9825,28.0258333,9.2,14.34,16.8,0.38,0.64,454,58,10,Ir,,0.0
KKH65,,162.9962497,28.36249997,10.0,13.23,17.4,0.58,0.86,,35,-2,Sph,,0.0
MRK0036,,166.2437498,29.1394444,8.02,14.0,15.61,0.68,0.64,646,58,9,BCD,,0.0
DDO083,,159.1804164,31.54666663,10.9,13.41,15.41,2.04,0.4,582,90,10,Ir,,0.0
NGC3413,,162.8362498,32.7663888,12.02,10.36,13.23,2.22,0.51,634,60,8," ",,0.0
DDO068,,149.1904164,28.82499996,9.8,12.82,14.77,2.0,0.37,503,90,10,Ir,,0.0
UGC05427,,151.1708332,29.36638885,7.11,12.2,14.89,1.38,0.67,498,49,8," ",,0.0
LV J1000+3032,,150.152083,30.53611108,7.1,15.64,18.06,0.28,0.71,501,51,10,Ir,,0.0
LeoA,,149.8599999,30.74638884,0.81,10.49,12.92,5.75,0.61,24,61,10,Ir,,0.0
DDO084,,160.6745832,34.4488888,8.11,11.17,13.73,4.47,0.74,630,43,8," ",,0.0
KUG 1033+366B,,159.0733332,36.4252777,8.1,14.58,17.0,0.6,0.53,620,69,9,Im,,0.0
VV747,,164.445833,36.2608333,9.2,13.07,15.5,1.1,0.56,619,66,10,Ir,,0.0
HS1053+3624,,164.1683332,36.1411111,9.2,15.34,17.76,0.5,0.49,572,74,10,Ir,,0.0
KK109,,176.7966665,43.67194435,4.51,15.68,18.1,0.45,0.67,211,55,10,Ir,,0.0
LV J1052+3628,,163.0229165,36.4766666,9.2,15.5,17.9,0.44,0.69,476,53,10,Ir,,0.0
UGC05983,,163.0729166,36.5933333,9.2,13.6,16.0,1.1,0.61,765,61,10,Ir,,0.0
NGC3432,,163.129583,36.6188888,9.2,9.06,11.67,5.37,0.22,611,80,8," ",,0.0
LV J1052+3639,,163.17,36.6649999,9.2,13.4,15.8,1.68,0.37,511,90,10,Ir,,0.0
NGC3741,,174.0266664,45.2852777,3.03,12.26,14.38,1.48,0.55,229,67,9,BCD,,0.0
UGC06541,,173.3712497,49.2380555,3.89,11.85,14.44,1.74,0.57,249,65,10,Ir,,0.0
KK78,,147.5816665,31.45666663,7.1,15.25,17.68,0.41,0.6,539,62,10,Ir,,0.0
UGC05209,,146.2674998,32.2383333,6.56,13.64,16.06,0.83,0.96,535,18,10,Ir,,0.0
DDO064,,147.593333,31.48749997,7.11,12.45,14.46,2.19,0.38,521,90,10,Ir,,0.0
UGC05186,,145.7491664,33.2644444,8.3,13.87,16.27,1.38,0.23,546,90,10,Ir,,0.0
LV J0954+3620,,148.710833,36.33388886,15.4,15.54,17.93,0.34,0.67,503,55,10,Ir,,0.0
KKH58,,151.844583,38.9697222,18.4,12.94,15.61,1.26,0.48,587,62,8," ",,0.0
NGC3104,,150.9891665,40.75694436,16.0,11.24,13.97,3.55,0.56,603,57,8," ",,0.0
LV J1018+4109,,154.5924997,41.16583325,11.1,14.25,18.4,0.38,0.86,,34,-1,Sph,,0.0
NGC3184,,154.5708333,41.4244444,11.12,7.23,10.36,7.41,0.93,592,22,6," ",,0.0
KUG 1013+414,,154.0649997,41.1663888,11.12,12.73,15.4,1.13,0.39,518,68,8," ",,0.0
KUG 0937+480,,145.0816665,47.77722214,7.88,14.59,17.0,0.85,0.36,546,90,9,Im,,0.0
LV J1000+5022,,150.10625,50.3791666,7.97,14.7,17.1,0.58,0.76,538,46,9,Im,,0.0
LV J1028+4240,,157.1375,42.6688888,7.55,15.01,17.4,0.48,0.71,547,51,10,Ir,,0.0
Willman1,,162.3374998,51.0499999,0.04,11.89,16.04,3.7,0.53,-12,74,-2,Sph,,0.0
KDG078,,172.4749997,52.4038888,9.0,14.29,16.7,0.74,0.71,575,51,10,Tr,,0.0
NGC3990,,179.398333,55.45861104,10.3,9.55,13.43,1.69,0.57,696,65,-1," ",,0.0
NGC3738,,173.9525,54.5227777,4.9,9.61,11.87,3.39,0.73,225,49,9,BCD,,0.0
KKH73,,177.5266664,55.78333324,9.0,14.91,17.3,0.69,0.94,594,22,10,Tr,,0.0
LV J1157+5638,,179.475833,56.63805546,7.03,14.68,17.1,0.48,0.81,416,40,10,Ir,,0.0
DDO092,,168.35875,53.5949999,9.9,13.2,15.6,1.38,0.78,928,44,9,Im,,0.0
M108,NGC3556,167.8791663,55.6738888,9.9,7.04,10.69,5.01,0.25,696,80,6," ",M108.png,55000.0
UMa I,,158.7199997,51.91999995,0.1,11.12,15.29,18.0,0.2,-55,90,-3,Sph,,0.0
UGC06757,,176.7462497,61.33499994,2.73,13.82,16.3,1.1,0.55,82,67,10,Ir,,0.0
DDO043,,112.0716664,40.7702777,5.73,13.07,15.12,1.41,0.69,353,53,10,Ir,,0.0
DDO052,,127.1187498,41.8566666,10.28,12.37,15.27,1.74,0.5,396,72,10,Ir,,0.0
DDO046,,115.3574999,40.1125,6.85,12.2,14.4,1.78,0.94,364,22,10,Ir,,0.0
IC2233,,123.4954164,45.7422222,12.2,10.76,13.07,4.9,0.11,557,90,7," ",,0.0
NGC2537,,123.3112499,45.9905555,12.2,9.13,12.27,2.57,0.88,449,29,8," ",,0.0
NGC2541,,123.6670831,49.0616666,12.4,10.09,12.26,7.08,0.53,559,59,7," ",,0.0
LV J0812+4836,,123.1645831,48.6124999,12.42,14.55,17.1,0.52,0.31,521,90,9,BCD,,0.0
NGC2552,,124.8354165,50.00972216,12.4,10.0,12.69,3.72,0.74,524,43,8," ",,0.0
NGC2500,,120.4716665,50.73722215,12.4,9.28,12.23,3.31,0.84,514,33,7," ",,0.0
UGC03600,,103.9166666,39.0949999,7.24,13.22,16.18,1.91,0.36,398,70,8," ",,0.0
UGC03698,,107.3283332,44.37999995,7.24,12.68,15.41,1.17,0.6,421,62,10,Ir,,0.0
NGC2337,,107.5566666,44.4569444,7.87,10.34,13.48,2.75,0.75,433,47,9,Im,,0.0
UGC03475,,97.6199999,39.5038888,20.0,12.52,15.2,2.09,0.57,487,57,6," ",,0.0
KKH38,,101.9787499,47.51388886,19.3,14.68,17.4,1.38,0.54,451,68,10,Ir,,0.0
UGC03501,,99.6599998,49.25833326,15.5,13.89,16.7,1.12,0.37,451,90,10,Ir,,0.0
UGC03817,,110.6854165,45.1083333,8.55,11.89,15.96,1.74,0.5,437,72,10,Ir,,0.0
LV J0737+4724,,114.3687498,47.4091666,15.7,15.28,18.06,0.42,0.4,404,90,10,Ir,,0.0
CGCG 262-028,,116.8837498,51.1913888,7.1,12.81,14.8,1.0,0.52,454,70,9,BCD,,0.0
KKH40,,116.7349999,51.296111,6.98,14.0,16.6,0.66,0.72,445,50,10,Ir,,0.0
UGC04932,,139.8920832,51.1091666,20.6,13.15,15.17,1.86,0.32,549,73,8," ",,0.0
MCG +09-16-010,,140.8208333,51.9730555,7.35,13.54,16.2,0.92,0.78,484,39,8," ",,0.0
UGC05047,,142.2066665,51.56055545,19.68,13.0,16.0,1.62,0.28,502,76,7," ",,0.0
UGC04879,,139.0091666,52.8399999,1.36,11.5,13.8,3.24,0.56,-25,66,9,BCD,,0.0
UMa II,,132.8749997,63.1299999,0.03,10.35,14.8,25.3,0.5,-116,80,-2,Sph,,0.0
KKH57,,150.0666663,63.1849999,3.91,13.69,17.87,0.6,0.83,,41,-3,Sph,,0.0
UGC05497,,153.2016665,64.1074999,3.7,13.18,15.6,0.89,0.74,150,48,9,BCD,,0.0
DDO087,,162.402083,65.5305555,7.45,11.86,15.15,1.58,0.9,340,29,10,Ir,,0.0
BK6N,,158.6329163,66.0116666,3.85,12.75,16.9,1.1,0.64,,66,-3,Sph,,0.0
KDG063,,151.2804164,66.5549999,3.5,11.53,16.01,1.91,0.88,-129,34,-3,Tr,,0.0
[CKT2009]d0958+66,,149.7020832,66.8497221,4.04,13.41,16.0,0.87,0.58,90,64,9,BCD,,0.0
[CKT2009]d1006+67,,151.6924997,67.201111,3.87,15.32,19.7,0.32,0.97,,17,-3,Sph,,0.0
KDG064,,151.7579166,67.8274999,3.7,11.19,15.52,1.95,0.47,-15,90,-3,Tr,,0.0
BK5N,,151.1679166,68.2555555,3.78,13.2,17.53,0.79,0.75,,52,-3,Sph,,0.0
IKN,,152.024583,68.3991666,3.75,12.16,16.5,2.69,0.85,-140,39,-3,Sph,,0.0
[CKT2009]d1014+68,,153.7325,68.7575,4.57,15.92,20.2,0.2,0.9,,29,-1,Tr,,0.0
[CKT2009]d1015+69,,153.7787497,69.0375,4.07,16.21,20.5,0.25,0.98,,13,-1,Tr,,0.0
UGC04998,,141.3004165,68.3830554,8.24,11.11,15.0,1.78,0.62,632,60,9,BCD,,0.0
KK77,,147.5416666,67.5066666,3.48,11.63,16.3,2.4,0.75,,52,-3,Sph,,0.0
F8D1,,146.2083331,67.4755554,3.77,11.22,15.7,2.19,0.91,-125,29,-3,Sph,,0.0
NGC2976,,146.8149997,67.913611,3.56,7.53,11.01,5.75,0.46,6,64,7," ",,0.0
BK3N,,148.4520832,68.9691665,4.02,16.11,18.78,0.32,0.8,-40,41,10,Ir,,0.0
FM1,,146.2916666,68.7649999,3.4,13.12,17.5,0.89,0.89,,33,-3,Sph,,0.0
GARLAND,,150.9249998,68.6933333,3.82,14.18,16.8,3.98,0.6,43,62,10,Ir,,0.0
NGC3077,,150.8374998,68.7338888,3.82,7.32,10.62,6.46,0.83,19,38,9,dEem,,0.0
ClumpIII,,150.1683332,68.6602776,3.6,17.17,19.8,0.1,0.95,-121,20,10,Ir,,0.0
[CKT2009]d0959+68,,149.8879165,68.6569443,3.6,15.36,18.0,0.79,0.7,-186,52,10,Ir,,0.0
KDG061,,149.26125,68.5916665,3.6,10.86,15.24,1.41,0.58,221,64,-1,Sph,,0.0
ClumpI,,149.338333,68.7152777,3.6,17.17,19.8,0.18,0.72,-165,50,10,Ir,,0.0
HolmIX,,149.385,69.0430554,3.61,11.86,14.53,2.63,0.8,50,41,10,Ir,,0.0
Bode's Galaxy,M81,148.8895832,69.0666666,3.63,3.83,7.79,28.18,0.52,-38,62,3," ",M81.png,35000.0
A0952+69,,149.370833,69.2722221,3.87,14.11,16.8,1.82,0.53,99,69,10,Ir,,0.0
M82,NGC3034,148.974583,69.6824999,3.53,4.67,9.06,11.48,0.38,183,69,8," ",M82gal.png,20000.0
UGC05423,,151.3774997,70.3644443,8.71,11.99,14.42,1.07,0.67,348,55,10,Ir,,0.0
[CKT2009]d1009+70,,152.3954165,70.548611,9.0,13.36,18.0,0.72,0.85,,35,-1,Sph,,0.0
[CKT2009]d0944+69,,146.0937497,69.2111111,3.98,16.52,21.0,0.2,0.99,,10,-3,Sph,,0.0
[CKT2009]d0934+70,,143.5154165,70.2158332,3.66,14.18,19.3,0.59,0.86,,37,-3,Sph,,0.0
[CKT2009]d0955+70,,148.8066664,70.4080555,3.93,14.81,19.5,0.35,0.87,,36,-3,Sph,,0.0
DDO078,,156.6162498,67.6566665,3.72,12.29,16.5,2.0,0.95,55,22,-3,Sph,,0.0
KDG073,,163.2379165,69.5458332,3.7,14.73,17.09,1.2,0.83,116,38,10,Ir,,0.0
IC2574,,157.093333,68.416111,4.02,7.95,10.8,13.18,0.41,43,67,8," ",,0.0
HIJASS J1021+6842,,155.250833,68.6999999,3.7,,,,,46,,11,Ir,,0.0
[CKT2009]d1028+70,,157.1654166,70.233611,4.0,13.69,16.2,0.71,0.77,-114,45,10,Ir,,0.0
[CKT2009]d1041+70,,160.3199996,70.1508332,3.91,16.98,19.6,0.35,0.6,,62,10,Ir,,0.0
DDO082,,157.6458331,70.6194444,4.0,10.29,13.49,3.39,0.59,56,63,9,Im,,0.0
HS117,,155.355,71.116111,3.96,14.5,17.3,1.51,0.6,-37,62,10,Tr,,0.0
NGC2403,Caldwell 7,114.2141666,65.5994443,3.18,6.19,8.8,28.18,0.56,125,57,6," ",ngc2403.png,35000.0
DDO053,,128.527083,66.1791666,3.56,12.77,14.55,2.0,0.87,19,33,10,Ir,,0.0
DDO044,,113.5470832,66.886111,3.19,11.37,15.64,2.82,0.67,213,62,-3,Sph,,0.0
HolmII,,124.7666665,70.7141666,3.39,8.0,11.1,8.91,0.86,157,34,9,Im,,0.0
NGC2366,,112.2274998,69.2052777,3.19,9.14,11.68,7.24,0.36,96,90,10,Ir,,0.0
NGC2787,,139.8275,69.2033332,7.48,7.26,11.82,3.31,0.63,700,55,1," ",,0.0
UGC04483,,129.2625,69.7752777,3.21,13.33,14.95,1.32,0.58,156,64,10,Ir,,0.0
[CKT2009]d0926+70,,141.6162498,70.5066666,3.93,15.74,19.0,0.4,0.75,,47,10,Tr,,0.0
HolmI,,145.1345832,71.1863889,3.84,11.2,13.64,4.57,0.81,139,40,10,Ir,,0.0
[CKT2009]d0939+71,,144.8162497,71.3116665,3.63,17.09,19.6,0.35,0.85,,35,10,Tr,,0.0
[CKT2009]d0944+71,,146.1433332,71.4824999,3.39,12.47,16.7,0.89,0.62,,60,-1,Tr,,0.0
KDG052,,125.9833332,71.0294444,3.55,13.63,16.35,1.26,0.92,116,26,10,Ir,,0.0
UGC06456,,172.0024997,78.9913888,4.35,12.48,14.27,1.48,0.53,-94,69,10,Ir,,0.0
KKH37,,101.9408332,80.1238887,3.39,13.75,16.4,1.15,0.67,11,55,10,Ir,,0.0
BootesI,,209.9999997,14.49999998,0.07,9.49,13.66,20.0,0.61,99,64,-2,Sph,,0.0
DDO187,,213.9854162,23.05527775,2.2,12.46,14.38,1.7,0.76,160,46,10,Ir,,0.0
KKR25,,243.448333,54.37111105,1.86,12.86,17.0,1.1,0.59,-79,63,-1,Sph,,0.0
Draco,,260.0058327,57.9094444,0.08,6.69,10.9,35.48,0.69,-296,59,-3,Sph,,0.0
UGC08638,,204.8308332,24.7758333,4.27,11.53,14.47,1.66,0.67,276,55,10,Ir,,0.0
AGC238890,,203.1262497,25.12361106,6.8,14.2,16.6,0.83,0.63,360,59,9,BCD,,0.0
AGC732602,,200.2699998,24.1433333,7.2,14.71,17.1,0.62,0.43,925,83,10,Ir,,0.0
BootesIII,,209.280833,26.77499995,0.05,8.41,12.6,56.0,0.65,198,64,-3,Sph,,0.0
CVnI,,202.014583,33.55583325,0.22,9.79,13.94,14.3,0.61,31,70,-3,Sph,,0.0
CGCG 189-050,,199.2704165,37.9524999,5.04,13.2,15.6,0.85,0.77,324,45,9,BCD,,0.0
KK230,,211.794583,35.0602777,2.14,14.55,17.5,0.76,0.83,63,38,10,Ir,,0.0
UGC08833,,208.7029162,35.8374999,3.08,12.31,15.3,1.17,0.89,221,30,10,Ir,,0.0
MRK0475,,219.7724998,36.8061111,9.2,14.01,16.41,0.45,0.75,583,47,9,BCD,,0.0
DDO190,,216.1812498,44.52583324,2.74,10.72,13.1,2.4,0.89,150,30,9,Im,,0.0
DDO183,,207.7129164,38.02111104,3.22,12.04,14.45,2.4,0.32,188,90,10,Ir,,0.0
KK227,,209.042083,40.3033333,10.0,13.36,17.5,0.71,0.81,,42,-2,Ir,,0.0
DDO182,,205.635833,39.65833324,8.9,13.3,15.69,1.32,0.74,663,48,10,Ir,,0.0
DDO181,,204.9741663,40.7391666,3.01,11.85,14.22,2.4,0.57,214,65,10,Ir,,0.0
MCG +08-25-028,,204.1866664,44.5991666,7.74,13.49,15.9,0.95,0.52,480,70,10,Ir,,0.0
NGC4656,,190.9899998,32.1702777,5.4,8.0,10.96,12.88,0.15,638,87,8," ",,0.0
